Make;Model;Variant;Start Year;End Year;Doors;Drivetrain;Body Type;Engine Size;Aspiration;Fuel Type;Transmission Type
Dodge;Aspen;;1980;1980;2-door/4-door/5-door;RWD;Coupe/Sedan/Wagon;3.7L/5.2L/5.9L;Naturally Aspirated;Petrol;3/4-Speed Manual/3-Speed Automatic
Ferrari;Dino;308 GT4;1980;1980;2-door;RWD;2+2Coupe;2.9L;Naturally Aspirated;Petrol;5-Speed Manual
MG;MGB;LE;1980;1980;2-door;RWD;Roadster;1.8L;Naturally Aspirated;Petrol;4-Speed Manual
BMW;5 Series;E12 520;1980;1981;4-door;RWD;Sedan;2.0L Inline 6 Cyl;Naturally Aspirated;Petrol;4/5-Speed Manual/3-Speed Auto
BMW;5 Series;E12 528i;1980;1981;4-door;RWD;Sedan;2.8L Inline 6 Cyl;Naturally Aspirated;Petrol;4/5-Speed Manual/3-Speed Auto
Chevrolet;Camaro;(Gen 2) Z28;1980;1981;2-door;RWD;Coupe;5.7L V8;Naturally Aspirated;Petrol;4-Speed Manual/3-Speed Auto
Chrysler;LeBaron;(M-Body);1980;1981;2-door/4-door;RWD;Coupe/Sedan;3.7L Inline 6 Cyl/5.2L V8;Naturally Aspirated;Petrol;3-Speed Automatic
Chrysler;Newport;;1980;1981;4-door;RWD;Sedan;3.7L Inline 6 Cyl/5.2L V8;Naturally Aspirated;Petrol;3-Speed Automatic
Chrysler;New Yorker;(R-Body);1980;1981;4-door;RWD;Sedan;5.2L V8/5.9L V8;Naturally Aspirated;Petrol;3-Speed Automatic
Daihatsu;Fellow Max;;1980;1981;2-door/4-door;RWD;Sedan;550cc;Naturally Aspirated;Petrol;4-Speed Manual
Datsun;510;;1980;1981;4-door/5-door;RWD;Sedan/Wagon;2.0L;Naturally Aspirated;Petrol;5-Speed Manual/3-Speed Automatic
Datsun;Stanza;A10;1980;1981;4-door/5-door;RWD;Sedan/Hatchback;2.0L;Naturally Aspirated;Petrol;5-Speed Manual/3-Speed Automatic
Dodge;Dart;;1980;1981;2-door/4-door;RWD;Coupe/Sedan;3.7L/5.2L;Naturally Aspirated;Petrol;3-Speed Manual/3-Speed Automatic
Dodge;St. Regis;;1980;1981;4-door;RWD;Sedan;3.7L/5.2L/5.9L;Naturally Aspirated;Petrol;3-Speed Automatic
FAW;Hongqi CA770;;1980;1981;4-door;RWD;Limousine;5.7L;Naturally Aspirated;Petrol;2/3-Speed Automatic
Fiat;132;2000;1980;1981;4-door;RWD;Sedan;2.0L;Naturally Aspirated;Petrol;5-Speed Manual/3-Speed Automatic
Isuzu;117 Coupé;;1980;1981;2-door;RWD;Coupe;2.0L;Naturally Aspirated;Petrol;5-Speed Manual/3-Speed Automatic
Mitsubishi;Celeste;;1980;1981;2-door;RWD;Coupe;1.6L/2.0L;Naturally Aspirated;Petrol;5-Speed Manual
Porsche;924;Carrera GT;1981;1981;2-door;RWD;Coupe;2.0L;Turbocharged;Petrol;5-Speed Manual
Audi;100;C2 (Typ 43);1980;1982;4-door;FWD;Sedan/Avant;1.6L/2.0L/2.1L;Naturally Aspirated;Petrol/Diesel;4/5-Speed Manual/3-Speed Auto
Audi;200;C2 (Typ 43) 5T;1980;1982;4-door;FWD;Sedan;2.1L;Turbocharged;Petrol;5-Speed Manual
BMW;3 Series;E21 316;1980;1982;2-door;RWD;Sedan;1.6L;Naturally Aspirated;Petrol;4/5-Speed Manual
BMW;3 Series;E21 320;1980;1982;2-door;RWD;Sedan;2.0L Inline 6 Cyl;Naturally Aspirated;Petrol;4/5-Speed Manual/3-Speed Auto
BMW;3 Series;E21 323i;1980;1982;2-door;RWD;Sedan;2.3L Inline 6 Cyl;Naturally Aspirated;Petrol;5-Speed Manual
Chevrolet;Corvette;C3;1980;1982;2-door;RWD;Coupe;5.7L V8;Naturally Aspirated;Petrol;4-Speed Manual/3-Speed Auto
Datsun;100A/120A;F-II;1980;1982;3-door/4-door/5-door;FWD;Hatchback/Sedan/Wagon;1.0L/1.2L;Naturally Aspirated;Petrol;4-Speed Manual
Datsun;210;;1980;1982;2-door/3-door/4-door/5-door;RWD;Sedan/Wagon/Coupe;1.2L/1.4L/1.5L;Naturally Aspirated;Petrol;4/5-Speed Manual/3-Speed Automatic
Datsun;310;;1980;1982;3-door/4-door/5-door;FWD;Hatchback/Coupe;1.4L/1.5L;Naturally Aspirated;Petrol;4/5-Speed Manual/3-Speed Automatic
Datsun;Pulsar;N10;1980;1982;3-door/4-door/5-door;FWD;Hatchback/Sedan/Wagon;1.0L/1.2L/1.4L;Naturally Aspirated;Petrol;4/5-Speed Manual/3-Speed Automatic
Datsun;Sunny;B310;1980;1982;2-door/3-door/4-door/5-door;RWD;Sedan/Wagon/Coupe;1.2L/1.3L/1.4L/1.5L;Naturally Aspirated;Petrol;4/5-Speed Manual/3-Speed Automatic
Dodge;24;;1980;1982;2-door;FWD;Coupe;1.7L/2.2L;Naturally Aspirated;Petrol;4-Speed Manual/3-Speed Automatic
Ferrari;308;GTBi;1980;1982;2-door;RWD;Berlinetta;2.9L;Naturally Aspirated;Petrol;5-Speed Manual
