Country;Province;City;Suburb;Box_Code;Street_Code
South Africa;Eastern Cape;ABERDEEN;ABERDEEN TSP;6270;6270
South Africa;Eastern Cape;ABERDEEN;HOBSONVILLE;;6270
South Africa;Eastern Cape;ABERDEEN;LOTUSVILLE;;6270
South Africa;Eastern Cape;ABERDEEN;SUIDLOKASIE;;6270
South Africa;Eastern Cape;ABERDEEN;THEMBALESIZWE;;6270
South Africa;Eastern Cape;ABERDEEN;ABERDEEN;6270;6270
South Africa;Mpumalanga;ACORNHOEK;MURHOTSO;1378;
South Africa;Mpumalanga;ACORNHOEK;ROOIBOKLAAGTE;1375;1375
South Africa;Mpumalanga;ACORNHOEK;KHOKHOVELA;1367;
South Africa;Mpumalanga;ACORNHOEK;SOEKNOG;1227;
South Africa;Mpumalanga;ACORNHOEK;THULAMAHASHE;1365;1365
South Africa;Mpumalanga;ACORNHOEK;WALES;1280;1280
South Africa;Mpumalanga;ACORNHOEK;CASTEEL;1370;1370
South Africa;Mpumalanga;ACORNHOEK;COTTONDALE;1361;
South Africa;Mpumalanga;ACORNHOEK;DINGLEDALE;1360;
South Africa;Mpumalanga;ACORNHOEK;BROOKLYN;1360;
South Africa;Mpumalanga;ACORNHOEK;BUFFELSHOEK;1360;1360
South Africa;Mpumalanga;ACORNHOEK;HUMULANI;1360;
South Africa;Mpumalanga;ACORNHOEK;KA JOSEFA;1360;
South Africa;Mpumalanga;ACORNHOEK;MAANAWE;1360;
South Africa;Mpumalanga;ACORNHOEK;MACK AND GRANDS;1360;
South Africa;Mpumalanga;ACORNHOEK;MALITSHEGO;1360;
South Africa;Mpumalanga;ACORNHOEK;MALUNGANA;1360;
South Africa;Mpumalanga;ACORNHOEK;NGQUMATHINI;1360;
South Africa;Mpumalanga;ACORNHOEK;PHAAHLEDI;1360;
South Africa;Mpumalanga;ACORNHOEK;TIMBAVATI;1360;
South Africa;Mpumalanga;ACORNHOEK;GREEN VALLEY;1360;1360
South Africa;Mpumalanga;ACORNHOEK;MOLORO;1280;1280
South Africa;Mpumalanga;ACORNHOEK;CHOHOCHO;1242;1242
South Africa;Eastern Cape;ADDO;ADDO;6105;6105
South Africa;Eastern Cape;ADDO;KWA NOMATHAMSANQA;6105;
South Africa;Eastern Cape;ADDO;SUMMERVILLE;6107;
South Africa;Eastern Cape;ADDO;SUNLAND;6115;
South Africa;Eastern Cape;ADDO;VALENTIA;6105;
